"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"Port_St._Johns",-31.63,29.55,23.1345734977722,5.95138761901855,1087.7,102.6,21.7962365509361,4.54333332789842,1197.792,114.457999999999
"Doringbaai",-31.8,18.22,14.8910367469788,5.16039885711669,193.288000000002,32.2940000000004,13.3052678363664,3.11866070543017,230.562000000004,45.0220000000002
"Port_Edward",-31.06,30.23,23.5878345924378,5.83505321960449,1138.552,107.6744,21.9368115669287,4.66531401555895,1261.3312,121.4456
"Ramsgate",-30.87,30.37,23.4639658691406,5.7814433013916,1136.3376,110.06,21.99924616598,4.70095478230385,1254.7232,125.0636
"Port_Shepstone",-30.74,30.46,23.5918295349121,5.77597551574708,1120.0944,111,22.0239174833003,4.71541238568493,1239.564,127.24
"Umzumbe",-30.63,30.54,23.5651976028442,5.7513385269165,1102.5484,109.1388,22.0343523173752,4.72953368962738,1224.8436,127.9624
"Durban",-29.87,31.05,23.2136935157776,5.68174127578736,975.272,95.4799999999998,22.1196318784374,4.73687116646328,1077.156,116.686
"Mhlanga",-29.74,31.08,23.1610802055359,5.70665220108032,963.392800000001,87.8208000000001,22.1174825121473,4.728951050685,1055.3512,105.910400000001
"Shakas_Rock",-29.52,31.23,23.0057960914612,5.84421440505982,979.900000000003,88.5200000000004,22.1624999913302,4.71409091443727,1062.10280000001,103.9724
"Salt_Rock",-29.5,31.24,22.9996775627136,5.8520631980896,981.700000000002,88.7600000000003,22.1680152689228,4.71625954868229,1063.31,104.45
"Sheffield_Beach",-29.49,31.26,22.995583997345,5.85913905715943,985.300000000003,89.2400000000004,22.1703076876127,4.71646154477046,1068.4532,105.0956
"Blythedale_Beach",-29.37,31.35,22.9936073303223,5.89790134429931,1006.042,92.4960000000001,22.218,4.72048000717163,1088.892,109.118
"Nonoti",-29.33,31.39,23.0142236167908,5.89807246780396,1017.1084,94.1628000000001,22.2400787233368,4.72968504372544,1099.1772,110.4572
"Zinkwazi",-29.28,31.44,22.9240226745605,5.9428653717041,1029.4264,96.5416000000003,22.2653599853516,4.73688000106812,1110.9204,112.4632
"Lone_Rock",-28.91,31.94,23.2318628829956,6.1000560409546,1121.282,91.7599999999985,22.4971429156019,4.83181818119891,1194.0888,110.227599999999
"Richards_Bay",-28.81,32.09,23.6688140464783,6.18302596359253,1136.2708,87.4199999999999,22.5236471176147,4.8308235280654,1214.5992,99.2648000000001
"Cape_St_Lucia",-28.53,32.4,24.3173078460693,6.23959839630127,1180.8,73.698,22.5724057431491,4.79334905012599,1249.478,84.644
"Mission_Rocks",-28.28,32.49,24.5195360305786,6.21161491546631,1097.34960000001,89.9735999999996,22.6389855463148,4.75560385247935,1169.50960000001,97.7867999999985
"Jesser_Point",-27.51,32.68,24.6662185295105,6.16514645690918,926.743200000003,119.06,22.8922917048136,4.71968748917182,981.648000000002,115.601599999999
"Nine_Mile_Beach",-27.38,32.73,24.6863615768433,6.17833588104248,916.221600000001,115.353199999999,22.9496391925615,4.72103092350911,969.1476,111.206399999999
"Mabibi",-27.41,32.74,24.6863242233276,6.17401866607666,920.445600000001,115.641199999999,22.9380000209808,4.72399999380112,971.691599999998,110.222399999998
"Ponta_de_Ouro",-26.87,32.89,24.6579255592346,6.18271228637695,912.1648,106.8608,23.1324509919858,4.73813725452797,946.027999999999,106.7016
"Lamberts_Bay",-32.09,18.31,14.8651833244324,4.92991922454834,215.617200000002,36.5648000000003,13.3351041376591,3.00416666517655,261.488400000002,46.5324000000002
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,871.087999999995,118.739999999999,15.657087432528,4.6700000045369,922.181999999977,130.099999999996
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,279.9644,49.82,14.6039449228059,2.79986238971763,320.3984,57.5644000000001
"Elands_Bay",-32.32,18.33,14.8591818199158,4.79774250793457,244.502800000001,40.4328000000001,13.4470967426095,2.87537633859983,288.044000000003,48.9964000000002
"Elands_Bay",-32.32,18.33,14.8591818199158,4.79774250793457,244.502800000001,40.4328000000001,13.4470967426095,2.87537633859983,288.044000000003,48.9964000000002
"Elands_Bay",-32.32,18.33,14.8591818199158,4.79774250793457,244.502800000001,40.4328000000001,13.4470967426095,2.87537633859983,288.044000000003,48.9964000000002
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,890.558800000002,76.7227999999998,21.4824404716492,4.84839284420013,982.184800000007,88.8200000000004
