id,Sites,Bioregion,Lat,Long,h,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
513,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.92,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
514,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.8,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
515,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.43,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
516,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.35238,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
517,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.90909,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
531,Herolds_Bay,WarmTemperate,-34.06,22.4,0.951,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
533,Herolds_Bay,WarmTemperate,-34.06,22.4,1,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
534,Herolds_Bay,WarmTemperate,-34.06,22.4,0.90909,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
561,Swartvlei,WarmTemperate,-34.03,22.78,0.96,Syngnathus,temminckii,Ste,No,LC,planktonic,30,Benthic,Low,Estuarine,Carnivorous
591,Knysna,WarmTemperate,-34.09,23.09,0.71,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
592,Knysna,WarmTemperate,-34.09,23.09,0.844,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
